Object,Scale,AUC_Magnitude,AUC_Chroma,Additivity_Error,Decay_Mean_R,Decay_Mean_S,Decay_Median_R,Decay_Median_S,Oracle_Refl_LMSE,Oracle_Shading_LMSE,Oracle_Combined_LMSE
dinosaur,2,0.6812427002739759,0.4223164647796558,0.10142632046456175,,,,,0.06584618240594864,0.14141657948493958,0.10363138094544411
panther,0,0.5505593463733349,0.6123581757039671,0.09916551476832929,14.240306785306512,8.1685620598212,0.7865806276313863,1.2981788059396873,0.007001728750765324,0.009635336697101593,0.008318532723933458
panther,1,0.6513767387998984,0.629826669164468,0.03930339474099813,32.97860154722562,12.382947278324886,1.5570139761391237,2.3777152452037327,0.007001728750765324,0.009635336697101593,0.008318532723933458
panther,2,0.568155135514651,0.5876631017219874,0.025283639939393247,,,,,0.007001728750765324,0.009635336697101593,0.008318532723933458
squirrel,0,0.4942313751886012,0.4751968385177103,0.49733357677281187,6.162442608358392,16.70396979178077,0.6454142476373388,0.6371005903951625,0.07583741843700409,0.05405692011117935,0.06494716927409172
squirrel,1,0.4858102429596947,0.4567707287596372,0.3514907291326505,6.32565753817319,5.510401717338776,0.9659166311242589,1.0972843491301774,0.07583741843700409,0.05405692011117935,0.06494716927409172
squirrel,2,0.44253057925968103,0.43093521387869915,0.23027195159155575,,,,,0.07583741843700409,0.05405692011117935,0.06494716927409172
sun,0,0.6247571100989129,0.6853747343344453,0.21114665195101212,11.486620802294746,10.809425704787717,0.9090663017555203,1.129110463731323,0.02409316599369049,0.027220461517572403,0.025656813755631447
sun,1,0.6926381014446658,0.71596405539984,0.11359944560439407,29.37535136554743,26.208640012242842,1.7465732812687382,2.522193672798365,0.02409316599369049,0.027220461517572403,0.025656813755631447
sun,2,0.6613874776845684,0.6367525832848941,0.09228422497157551,,,,,0.02409316599369049,0.027220461517572403,0.025656813755631447
teabag2,0,0.5511741294395277,0.6012366639105245,0.1600385415675192,22.535356597193818,8.729908939902408,1.2134373068474407,1.5825484115433182,0.07072719186544418,0.054639782756567,0.06268348731100559
teabag2,1,0.6381605801994664,0.5562294981113489,0.12114408192871305,13.202926949918204,9.98737468699366,1.3996645381392585,2.0288639161842266,0.07072719186544418,0.054639782756567,0.06268348731100559
teabag2,2,0.5759751905000066,0.48212690420088833,0.13068878827140556,,,,,0.07072719186544418,0.054639782756567,0.06268348731100559
deer,0,0.504641514125504,0.4791265136432973,0.4798247827661515,6.25715936043238,7.446080438495625,0.8823086121417403,0.7559788653811226,0.06928948312997818,0.0603250116109848,0.06480724737048149
deer,1,0.5030182264374318,0.4612852003361253,0.25481874343742106,13.864235917093474,7.789236652172389,1.3243134557096905,1.512480026287698,0.06928948312997818,0.0603250116109848,0.06480724737048149
deer,2,0.48173852952806295,0.4163237886165202,0.17372441083586684,,,,,0.06928948312997818,0.0603250116109848,0.06480724737048149
frog1,0,0.35092055225352525,0.45808362281381493,0.2675400506011205,4400915.714724555,6.05415687563646,0.7065204583687741,0.7897014445103432,0.04363149777054787,0.03718267008662224,0.04040708392858505
frog1,1,0.3839781945599198,0.4375104672521604,0.20765315434005932,7.17494697434301,6.763888728890054,1.117042500022893,1.214668561986804,0.04363149777054787,0.03718267008662224,0.04040708392858505
frog1,2,0.36920832676683646,0.4208729174965531,0.1712719498180634,,,,,0.04363149777054787,0.03718267008662224,0.04040708392858505
frog2,0,0.4044250903054172,0.4649967444164342,0.3375412452484512,14.454403349021916,8.241284332546691,1.0680714509306464,1.4038212895346378,0.021835800260305405,0.028017433360219002,0.024926616810262203
frog2,1,0.4065532659641261,0.46268934515938664,0.19915934858422357,12.541421157505361,15.138665133115676,1.505467900330176,1.6297321112717715,0.021835800260305405,0.028017433360219002,0.024926616810262203
frog2,2,0.36845349782324227,0.4543434965358727,0.13694382755671208,,,,,0.021835800260305405,0.028017433360219002,0.024926616810262203
paper1,0,0.5816284156265529,0.6817653365479943,0.12531436117282083,11.278379509062121,6.133383350848749,0.6383999144386442,0.6223463249841608,0.0024258005432784557,0.0023992855567485094,0.0024125430500134826
paper1,1,0.7210711604154906,0.6306043160631262,0.0717049810978336,25.030450837156053,7.491450639942619,1.42050930755054,1.0638636893236755,0.0024258005432784557,0.0023992855567485094,0.0024125430500134826
paper1,2,0.6148050586699847,0.5747896368675132,0.053684728338442046,,,,,0.0024258005432784557,0.0023992855567485094,0.0024125430500134826
paper2,0,0.6422394669109097,0.7098491265509634,0.15308023664879952,11.341049851945646,16.49042052250687,0.8334042038700507,0.7312807825329127,0.003479849314317107,0.003826113184913993,0.00365298124961555
paper2,1,0.7218477923250687,0.648492495854051,0.08765360942068806,56.15914451271959,7.765510494553044,1.4849471548440405,1.1239216952613087,0.003479849314317107,0.003826113184913993,0.00365298124961555
paper2,2,0.5777340991329939,0.5746034642734108,0.06284042276659829,,,,,0.003479849314317107,0.003826113184913993,0.00365298124961555
raccoon,0,0.583320231071398,0.6746782177978927,0.14956292292791235,10.005772840641088,12.871881186488453,0.7889052749974407,1.2773923718892695,0.009605586528778076,0.009228480979800224,0.00941703375428915
raccoon,1,0.6461151588531011,0.6813925682152947,0.07253928835063578,35.85469411835936,12.815531981974134,1.5242591776694074,1.5545956865808148,0.009605586528778076,0.009228480979800224,0.00941703375428915
raccoon,2,0.49990509893100005,0.6460773630956335,0.05175131773986986,,,,,0.009605586528778076,0.009228480979800224,0.00941703375428915
teabag1,0,0.7225454581824599,0.6519030305541569,0.15593934236981974,11.652199631419316,22.694336646183128,1.4007345423115625,1.6466294338099297,0.08119985461235046,0.12290303409099579,0.10205144435167313
teabag1,1,0.7699063654970867,0.6036174098005378,0.10375193680817257,24.303331247969368,7.896468047507452,1.2136517457421556,1.6767882516580375,0.08119985461235046,0.12290303409099579,0.10205144435167313
teabag1,2,0.724952141122846,0.4777870618538235,0.10646405403916417,,,,,0.08119985461235046,0.12290303409099579,0.10205144435167313
turtle,0,0.4119397325541295,0.4857860967469906,0.3193842990090724,4.192812765279708,17.716406115365736,0.6942998801771127,1.0186444299260031,0.017330944538116455,0.017637595534324646,0.01748427003622055
turtle,1,0.37445065799602967,0.471189752293348,0.21014669001344807,130169.05969052963,12.378172319915059,1.0175440690564752,1.4672123623176632,0.017330944538116455,0.017637595534324646,0.01748427003622055
turtle,2,0.2953008195420571,0.4688819660690069,0.15687051337441127,,,,,0.017330944538116455,0.017637595534324646,0.01748427003622055
